[rospy.client][INFO] 2017-03-30 16:03:25,774: init_node, name[/acrobot_control_node], pid[14452]
[xmlrpc][INFO] 2017-03-30 16:03:25,774: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-03-30 16:03:25,775: Started XML-RPC server [http://hancheol:38485/]
[rospy.impl.masterslave][INFO] 2017-03-30 16:03:25,776: _ready: http://hancheol:38485/
[rospy.init][INFO] 2017-03-30 16:03:25,777: ROS Slave URI: [http://hancheol:38485/]
[rospy.registration][INFO] 2017-03-30 16:03:25,779: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2017-03-30 16:03:25,779: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2017-03-30 16:03:25,877: registered with master
[rosout][INFO] 2017-03-30 16:03:27,301: /acrobot_control_node, u = -0.847334
[rosout][INFO] 2017-03-30 16:03:27,314: /acrobot_control_node, u = -1.140710
[rosout][INFO] 2017-03-30 16:03:27,327: /acrobot_control_node, u = -1.140710
[rosout][INFO] 2017-03-30 16:03:27,338: /acrobot_control_node, u = -1.462099
[rosout][INFO] 2017-03-30 16:03:27,349: /acrobot_control_node, u = -1.462099
[rosout][INFO] 2017-03-30 16:03:27,360: /acrobot_control_node, u = -1.764194
[rosout][INFO] 2017-03-30 16:03:27,371: /acrobot_control_node, u = -1.764194
[rosout][INFO] 2017-03-30 16:03:27,383: /acrobot_control_node, u = -1.999164
[rosout][INFO] 2017-03-30 16:03:27,393: /acrobot_control_node, u = -1.999164
[rosout][INFO] 2017-03-30 16:03:27,402: /acrobot_control_node, u = -2.122979
[rosout][INFO] 2017-03-30 16:03:27,414: /acrobot_control_node, u = -2.122979
[rosout][INFO] 2017-03-30 16:03:27,428: /acrobot_control_node, u = -2.102590
[rosout][INFO] 2017-03-30 16:03:27,437: /acrobot_control_node, u = -2.102590
[rosout][INFO] 2017-03-30 16:03:27,449: /acrobot_control_node, u = -1.920703
[rosout][INFO] 2017-03-30 16:03:27,458: /acrobot_control_node, u = -1.920703
[rosout][INFO] 2017-03-30 16:03:27,470: /acrobot_control_node, u = -1.576954
[rosout][INFO] 2017-03-30 16:03:27,484: /acrobot_control_node, u = -1.576954
[rosout][INFO] 2017-03-30 16:03:27,495: /acrobot_control_node, u = -1.085195
[rosout][INFO] 2017-03-30 16:03:27,506: /acrobot_control_node, u = -1.085195
[rosout][INFO] 2017-03-30 16:03:27,517: /acrobot_control_node, u = -0.477631
[rosout][INFO] 2017-03-30 16:03:27,527: /acrobot_control_node, u = -0.477631
[rosout][INFO] 2017-03-30 16:03:27,538: /acrobot_control_node, u = 0.211613
[rosout][INFO] 2017-03-30 16:03:27,549: /acrobot_control_node, u = 0.211613
[rosout][INFO] 2017-03-30 16:03:27,560: /acrobot_control_node, u = 0.935985
[rosout][INFO] 2017-03-30 16:03:27,569: /acrobot_control_node, u = 0.935985
[rosout][INFO] 2017-03-30 16:03:27,579: /acrobot_control_node, u = 1.650682
[rosout][INFO] 2017-03-30 16:03:27,591: /acrobot_control_node, u = 1.650682
[rosout][INFO] 2017-03-30 16:03:27,601: /acrobot_control_node, u = 2.315363
[rosout][INFO] 2017-03-30 16:03:27,612: /acrobot_control_node, u = 2.315363
[rosout][INFO] 2017-03-30 16:03:27,623: /acrobot_control_node, u = 2.885476
[rosout][INFO] 2017-03-30 16:03:27,634: /acrobot_control_node, u = 2.885476
[rosout][INFO] 2017-03-30 16:03:27,647: /acrobot_control_node, u = 3.333453
[rosout][INFO] 2017-03-30 16:03:27,660: /acrobot_control_node, u = 3.333453
[rosout][INFO] 2017-03-30 16:03:27,671: /acrobot_control_node, u = 3.628659
[rosout][INFO] 2017-03-30 16:03:27,681: /acrobot_control_node, u = 3.628659
[rosout][INFO] 2017-03-30 16:03:27,693: /acrobot_control_node, u = 3.752925
[rosout][INFO] 2017-03-30 16:03:27,704: /acrobot_control_node, u = 3.752925
[rosout][INFO] 2017-03-30 16:03:27,714: /acrobot_control_node, u = 3.696232
[rosout][INFO] 2017-03-30 16:03:27,724: /acrobot_control_node, u = 3.696232
[rosout][INFO] 2017-03-30 16:03:27,734: /acrobot_control_node, u = 3.459156
[rosout][INFO] 2017-03-30 16:03:27,746: /acrobot_control_node, u = 3.459156
[rosout][INFO] 2017-03-30 16:03:27,758: /acrobot_control_node, u = 3.054696
[rosout][INFO] 2017-03-30 16:03:27,767: /acrobot_control_node, u = 3.054696
[rosout][INFO] 2017-03-30 16:03:27,777: /acrobot_control_node, u = 2.508433
[rosout][INFO] 2017-03-30 16:03:27,787: /acrobot_control_node, u = 2.508433
[rosout][INFO] 2017-03-30 16:03:27,798: /acrobot_control_node, u = 1.853355
[rosout][INFO] 2017-03-30 16:03:27,808: /acrobot_control_node, u = 1.853355
[rosout][INFO] 2017-03-30 16:03:27,821: /acrobot_control_node, u = 1.122870
[rosout][INFO] 2017-03-30 16:03:27,829: /acrobot_control_node, u = 1.122870
[rosout][INFO] 2017-03-30 16:03:27,838: /acrobot_control_node, u = 0.344857
[rosout][INFO] 2017-03-30 16:03:27,849: /acrobot_control_node, u = 0.344857
[rosout][INFO] 2017-03-30 16:03:27,864: /acrobot_control_node, u = -0.445955
[rosout][INFO] 2017-03-30 16:03:27,874: /acrobot_control_node, u = -0.445955
[rosout][INFO] 2017-03-30 16:03:27,884: /acrobot_control_node, u = -1.224337
[rosout][INFO] 2017-03-30 16:03:27,895: /acrobot_control_node, u = -1.224337
[rosout][INFO] 2017-03-30 16:03:27,906: /acrobot_control_node, u = -1.969592
[rosout][INFO] 2017-03-30 16:03:27,916: /acrobot_control_node, u = -1.969592
[rosout][INFO] 2017-03-30 16:03:27,930: /acrobot_control_node, u = -2.666199
[rosout][INFO] 2017-03-30 16:03:27,936: /acrobot_control_node, u = -2.666199
[rosout][INFO] 2017-03-30 16:03:27,947: /acrobot_control_node, u = -3.310275
[rosout][INFO] 2017-03-30 16:03:27,956: /acrobot_control_node, u = -3.310275
[rosout][INFO] 2017-03-30 16:03:27,969: /acrobot_control_node, u = -3.902386
[rosout][INFO] 2017-03-30 16:03:27,981: /acrobot_control_node, u = -3.902386
[rosout][INFO] 2017-03-30 16:03:27,988: /acrobot_control_node, u = -4.455724
[rosout][INFO] 2017-03-30 16:03:27,998: /acrobot_control_node, u = -4.455724
[rosout][INFO] 2017-03-30 16:03:28,008: /acrobot_control_node, u = -4.986180
[rosout][INFO] 2017-03-30 16:03:28,018: /acrobot_control_node, u = -4.986180
[rosout][INFO] 2017-03-30 16:03:28,032: /acrobot_control_node, u = -5.509416
[rosout][INFO] 2017-03-30 16:03:28,042: /acrobot_control_node, u = -5.509416
[rosout][INFO] 2017-03-30 16:03:28,052: /acrobot_control_node, u = -6.037390
[rosout][INFO] 2017-03-30 16:03:28,065: /acrobot_control_node, u = -6.037390
[rosout][INFO] 2017-03-30 16:03:28,076: /acrobot_control_node, u = -6.037390
[rosout][INFO] 2017-03-30 16:03:28,086: /acrobot_control_node, u = -6.578060
[rosout][INFO] 2017-03-30 16:03:28,098: /acrobot_control_node, u = -7.124006
[rosout][INFO] 2017-03-30 16:03:28,109: /acrobot_control_node, u = -7.124006
[rosout][INFO] 2017-03-30 16:03:28,121: /acrobot_control_node, u = -7.681046
[rosout][INFO] 2017-03-30 16:03:28,131: /acrobot_control_node, u = -7.681046
[rosout][INFO] 2017-03-30 16:03:28,142: /acrobot_control_node, u = -8.230093
[rosout][INFO] 2017-03-30 16:03:28,154: /acrobot_control_node, u = -8.230093
[rosout][INFO] 2017-03-30 16:03:28,165: /acrobot_control_node, u = -8.754554
[rosout][INFO] 2017-03-30 16:03:28,175: /acrobot_control_node, u = -8.754554
[rosout][INFO] 2017-03-30 16:03:28,186: /acrobot_control_node, u = -9.235286
[rosout][INFO] 2017-03-30 16:03:28,198: /acrobot_control_node, u = -9.235286
[rosout][INFO] 2017-03-30 16:03:28,208: /acrobot_control_node, u = -9.654469
[rosout][INFO] 2017-03-30 16:03:28,219: /acrobot_control_node, u = -9.654469
[rosout][INFO] 2017-03-30 16:03:28,230: /acrobot_control_node, u = -9.993568
[rosout][INFO] 2017-03-30 16:03:28,241: /acrobot_control_node, u = -9.993568
[rosout][INFO] 2017-03-30 16:03:28,252: /acrobot_control_node, u = -10.236792
[rosout][INFO] 2017-03-30 16:03:28,265: /acrobot_control_node, u = -10.236792
[rosout][INFO] 2017-03-30 16:03:28,277: /acrobot_control_node, u = -10.372010
[rosout][INFO] 2017-03-30 16:03:28,288: /acrobot_control_node, u = -10.372010
[rosout][INFO] 2017-03-30 16:03:28,298: /acrobot_control_node, u = -10.389978
[rosout][INFO] 2017-03-30 16:03:28,308: /acrobot_control_node, u = -10.389978
[rosout][INFO] 2017-03-30 16:03:28,320: /acrobot_control_node, u = -10.285917
[rosout][INFO] 2017-03-30 16:03:28,330: /acrobot_control_node, u = -10.285917
[rosout][INFO] 2017-03-30 16:03:28,338: /acrobot_control_node, u = -10.059535
[rosout][INFO] 2017-03-30 16:03:28,348: /acrobot_control_node, u = -10.059535
[rosout][INFO] 2017-03-30 16:03:28,358: /acrobot_control_node, u = -9.715646
[rosout][INFO] 2017-03-30 16:03:28,368: /acrobot_control_node, u = -9.715646
[rosout][INFO] 2017-03-30 16:03:28,380: /acrobot_control_node, u = -9.263834
[rosout][INFO] 2017-03-30 16:03:28,392: /acrobot_control_node, u = -9.263834
[rosout][INFO] 2017-03-30 16:03:28,401: /acrobot_control_node, u = -8.718845
[rosout][INFO] 2017-03-30 16:03:28,412: /acrobot_control_node, u = -8.718845
[rosout][INFO] 2017-03-30 16:03:28,423: /acrobot_control_node, u = -8.099500
[rosout][INFO] 2017-03-30 16:03:28,434: /acrobot_control_node, u = -8.099500
[rosout][INFO] 2017-03-30 16:03:28,447: /acrobot_control_node, u = -7.426485
[rosout][INFO] 2017-03-30 16:03:28,460: /acrobot_control_node, u = -7.426485
[rosout][INFO] 2017-03-30 16:03:28,469: /acrobot_control_node, u = -6.723185
[rosout][INFO] 2017-03-30 16:03:28,482: /acrobot_control_node, u = -6.723185
[rosout][INFO] 2017-03-30 16:03:28,492: /acrobot_control_node, u = -6.009436
[rosout][INFO] 2017-03-30 16:03:28,504: /acrobot_control_node, u = -6.009436
[rosout][INFO] 2017-03-30 16:03:28,513: /acrobot_control_node, u = -5.302305
[rosout][INFO] 2017-03-30 16:03:28,524: /acrobot_control_node, u = -5.302305
[rosout][INFO] 2017-03-30 16:03:28,537: /acrobot_control_node, u = -4.610847
[rosout][INFO] 2017-03-30 16:03:28,549: /acrobot_control_node, u = -4.610847
[rosout][INFO] 2017-03-30 16:03:28,560: /acrobot_control_node, u = -3.936904
[rosout][INFO] 2017-03-30 16:03:28,573: /acrobot_control_node, u = -3.936904
[rosout][INFO] 2017-03-30 16:03:28,582: /acrobot_control_node, u = -3.273387
[rosout][INFO] 2017-03-30 16:03:28,593: /acrobot_control_node, u = -3.273387
[rosout][INFO] 2017-03-30 16:03:28,605: /acrobot_control_node, u = -2.609579
[rosout][INFO] 2017-03-30 16:03:28,615: /acrobot_control_node, u = -2.609579
[rosout][INFO] 2017-03-30 16:03:28,628: /acrobot_control_node, u = -1.929902
[rosout][INFO] 2017-03-30 16:03:28,637: /acrobot_control_node, u = -1.929902
[rosout][INFO] 2017-03-30 16:03:28,647: /acrobot_control_node, u = -1.221368
[rosout][INFO] 2017-03-30 16:03:28,658: /acrobot_control_node, u = -1.221368
[rosout][INFO] 2017-03-30 16:03:28,667: /acrobot_control_node, u = -0.477877
[rosout][INFO] 2017-03-30 16:03:28,679: /acrobot_control_node, u = -0.477877
[rosout][INFO] 2017-03-30 16:03:28,691: /acrobot_control_node, u = 0.297108
[rosout][INFO] 2017-03-30 16:03:28,700: /acrobot_control_node, u = 0.297108
